0	1
2	1
3	0
3	1
4	5
6	7
8	1
9	7
4	10
3	10
0	2
9	6
8	11
12	2
6	5
11	1
12	6
3	13
8	14
6	15
16	17
9	15
1	10
12	1
4	6
8	3
3	2
4	18
4	3
4	12
13	10
3	19
4	7
11	20
0	19
21	17
6	10
8	22
15	7
5	10
8	0
23	1
14	1
0	11
16	24
5	7
19	1
8	16
8	25
8	23
26	1
4	1
25	21
14	17
0	10
17	24
0	20
26	14
8	21
12	10
8	24
4	2
27	17
25	24
28	17
22	1
0	29
3	20
22	14
21	24
30	1
3	11
6	31
11	14
23	14
27	24
2	10
6	2
6	1
5	2
11	32
33	4
0	34
29	1
22	26
0	13
18	5
27	14
12	5
8	17
35	6
36	24
8	26
33	18
12	7
21	14
12	37
37	6
4	30
12	0
16	21
7	10
16	25
3	22
19	2
4	13
11	22
9	37
27	25
13	2
12	15
27	16
19	10
3	12
3	34
38	39
4	37
8	20
32	20
23	21
4	40
0	14
6	41
41	15
5	1
4	35
16	36
32	1
37	1
25	1
36	42
13	1
18	7
4	43
0	22
8	32
14	24
8	28
27	8
29	2
44	3
25	42
4	38
4	15
25	45
9	31
46	1
27	21
47	7
23	32
11	48
15	31
4	49
28	24
50	8
50	25
51	14
30	5
44	10
4	52
24	42
29	10
26	24
6	53
8	54
12	55
3	6
1	43
56	21
25	57
37	10
20	1
23	17
35	52
46	19
25	58
11	59
6	60
12	43
11	61
62	32
35	53
37	7
3	29
62	20
27	42
11	62
4	53
63	22
13	19
11	64
58	21
3	30
19	29
9	10
3	43
6	52
25	26
8	51
46	3
65	1
21	1
64	20
56	25
12	60
16	66
9	4
3	61
4	67
37	2
30	10
13	30
41	10
44	13
56	16
25	54
24	68
44	20
25	36
11	51
69	16
70	71
62	61
27	36
11	23
23	24
72	69
37	55
45	42
16	14
44	46
73	20
62	74
11	26
75	31
5	31
76	31
3	48
56	24
16	26
6	49
34	1
77	17
0	64
50	1
3	5
13	62
32	61
49	7
49	5
49	10
3	78
15	55
38	5
25	23
44	11
33	7
51	1
46	79
18	6
66	36
80	16
13	29
22	21
81	21
4	31
27	66
27	77
9	47
25	81
3	82
49	83
84	24
85	13
22	32
23	26
36	21
7	43
56	86
38	87
18	52
3	38
88	19
66	21
61	1
44	62
46	89
63	14
90	2
4	91
44	39
4	87
92	75
51	17
11	93
21	42
11	94
57	54
34	20
7	1
56	17
18	87
2	7
78	20
67	10
17	1
4	29
38	10
25	51
23	51
30	95
68	42
44	38
96	0
97	89
74	61
12	41
38	7
15	5
16	28
0	61
76	4
38	49
86	24
43	10
73	94
57	61
44	19
11	98
15	43
84	25
56	42
32	14
31	7
97	20
38	43
6	55
86	14
0	43
16	68
22	54
66	42
50	23
33	6
12	30
39	49
99	68
73	3
3	39
0	65
46	94
4	100
0	94
11	34
46	30
18	31
6	40
44	94
3	98
38	30
20	61
101	24
53	7
85	3
39	10
3	88
94	1
0	78
33	40
101	42
3	94
45	36
58	81
57	26
49	1
27	28
18	102
13	5
5	43
17	42
25	14
44	37
94	32
2	43
44	89
11	17
3	37
3	89
16	103
39	30
8	66
57	21
26	17
4	82
41	7
8	81
76	35
104	17
105	11
73	11
45	58
54	24
8	106
3	15
38	1
18	15
107	30
79	3
9	41
38	62
64	62
37	31
53	52
97	62
62	14
4	0
4	108
107	39
46	109
110	38
79	94
16	99
22	23
52	7
50	106
3	32
22	10
25	62
44	29
25	86
20	10
8	34
111	45
18	112
80	113
13	114
57	86
4	115
94	93
116	75
89	10
62	10
71	24
117	5
44	0
84	58
8	57
46	0
3	118
18	40
48	1
116	31
84	56
15	10
27	57
84	21
97	119
69	24
87	120
19	41
41	2
110	30
97	3
48	20
25	66
30	43
5	82
121	21
0	48
87	7
28	21
44	30
11	122
39	91
121	86
105	62
5	60
51	21
21	123
124	125
44	109
50	26
126	4
73	0
124	99
46	29
105	1
37	52
39	5
33	30
46	2
73	62
88	13
40	102
31	60
104	14
0	93
38	18
18	49
6	100
26	51
45	21
62	120
32	74
124	58
50	14
84	111
46	13
0	114
38	13
14	61
82	10
44	79
46	10
39	62
62	1
53	15
81	54
71	17
118	34
79	10
127	21
35	7
37	5
32	128
30	2
8	65
46	38
88	10
101	69
4	129
18	130
25	17
25	68
57	81
99	113
8	131
97	38
25	28
57	132
30	133
8	64
4	134
0	30
18	108
39	135
66	17
52	112
136	1
121	57
137	18
11	118
27	68
8	62
8	123
138	125
12	13
39	120
45	86
31	55
139	24
50	57
38	74
35	100
23	65
29	5
7	115
38	91
140	68
26	86
26	21
86	21
46	20
110	107
37	39
45	141
87	30
36	68
44	32
8	98
11	19
18	30
0	41
39	87
58	42
142	57
118	20
75	7
8	94
8	61
56	45
105	32
143	39
73	61
3	93
18	37
9	55
59	34
58	86
41	30
30	82
110	10
9	5
4	47
38	100
22	61
22	106
6	75
142	131
33	52
110	39
73	32
94	118
25	144
19	89
23	81
145	100
146	0
70	24
78	89
57	147
148	135
89	1
60	43
149	25
56	101
4	133
69	68
111	25
111	68
94	61
22	20
27	58
101	16
69	71
16	71
111	70
40	52
102	134
5	83
1	95
44	4
126	41
76	5
69	99
0	128
38	120
150	112
27	45
97	39
3	14
0	98
13	39
39	61
70	21
61	10
44	82
27	84
76	100
90	38
3	96
3	107
3	95
11	25
18	1
151	39
62	57
66	24
99	152
117	153
154	10
114	1
85	107
85	10
9	75
80	69
18	145
28	14
19	32
20	93
44	154
121	25
110	67
97	19
94	62
48	19
6	43
40	115
31	153
126	5
11	74
86	131
108	91
155	18
33	12
76	43
4	39
18	35
13	109
122	32
130	112
54	20
156	20
27	81
126	9
149	61
16	157
16	86
37	30
27	86
110	18
94	20
158	29
59	10
6	159
58	99
147	61
44	61
50	21
160	20
161	4
9	18
16	162
38	61
18	2
87	115
81	131
117	43
44	163
46	164
56	68
104	51
97	0
38	135
22	25
48	32
40	134
142	26
57	1
1	55
44	1
27	51
143	4
146	19
3	41
3	91
165	2
13	82
25	132
45	66
129	40
62	23
58	36
102	115
71	21
117	7
166	154
85	29
76	134
73	74
37	15
70	36
142	167
24	123
126	6
143	49
168	18
4	120
16	152
38	37
38	133
11	114
11	169
170	26
78	1
52	100
36	17
33	87
33	49
33	5
46	62
18	115
22	62
22	51
64	74
41	60
27	99
171	24
56	36
12	148
38	6
38	29
35	40
13	120
170	86
62	29
62	30
53	100
100	153
26	61
5	153
108	10
134	112
21	172
44	85
44	107
84	42
8	58
46	39
79	20
111	173
25	70
174	20
120	133
135	49
49	133
167	21
131	21
33	108
175	4
176	177
