5,0,47.55
4,0,39.16
1,5,50.37
1,0,44.26
11,75,58.5
8,46,60.65
7,0,48.8
27,46,44.31
11,40,52.59
1,40,41.6
5,4,42.05
27,8,64.26
7,86,42.03
14,4,46.7
8,75,58.32
86,0,57.05
14,8,60.6
1,83,51.57
7,19,49.2
8,20,57.23
2,34,30.54
27,20,65.58
0,40,35.4
14,0,29.62
11,8,42.77
7,1,47.96
1,4,45.67
11,51,32.28
11,1,52.04
11,14,74.7
83,40,32.94
1,3,39.03
11,46,50.29
86,220,33.33
5,3,37.15
16,34,35.6
8,40,43.07
7,60,49.52
20,46,47.37
75,40,38.55
7,5,38.27
36,0,44.36
19,0,30.55
5,86,40.25
2,6,39.7
75,46,44.54
3,0,48
7,2,78
7,10,33.66
7,36,38.36
44,0,40.95
11,0,61.86
10,16,29.25
19,34,36
5,40,51.23
34,6,51
5,220,57.73
44,19,40.85
7,16,27.54
14,40,37.63
7,6,29.07
11,4,48.2
13,34,34.14
10,6,29.83
159,34,35.25
60,0,41.41
5,5,38.44
1,220,37.83
60,19,35.52
16,6,33.05
59,0,53.91
1,86,24.61
8,8,63.4
86,19,39.5
36,19,48.46
13,6,29.95
4,40,33.94
8,4,55.45
8,0,60.3
75,4,49.33
86,47,34.47
28,11,33.05
5,49,33
1,0,50.54
60,44,39.07
5,83,44.41
51,75,47.18
13,19,64.75
14,75,36.78
7,34,36.71
3,8,63.75
45,6,41.75
7,44,35.57
28,51,28.94
14,46,24.2
16,19,34.21
14,63,52.44
63,8,52.22
11,59,23.4
14,5,66.42
2,16,51.55
46,40,24.21
2,10,26.88
1,60,37.58
3,4,30
11,83,33.92
86,60,28.93
27,63,143
13,10,26.62
83,4,35.08
14,20,38
13,2,26.66
3,40,44
1,14,49.12
1,49,42.66
29,54,16.69
11,63,54.71
7,220,21.05
47,220,34.18
36,16,40.88
11,88,30.5
5,19,36
8,69,36
69,20,39.77
75,0,70.8
11,3,43.75
2,45,47.57
47,0,27.58
63,0,65.2
10,0,32.5
45,43,27
83,0,31.8
51,46,52.66
11,11,39.37
5,60,38.5
7,47,27.9
19,6,27.9
7,159,38
13,7,27.45
1,4,22.92
87,1,24.75
10,43,22.84
11,29,16.38
11,20,28.9
10,23,35.5
27,2,47.16
163,0,56
13,16,27.6
5,46,91.66
36,47,55
86,177,54.6
20,2,33.62
11,11,37.71
159,6,33
96,7,29
96,10,26.1
93,19,43.33
59,75,51.8
87,40,21.41
11,91,32.12
6,43,42.83
1,40,63
44,6,84
8,8,62.75
7,195,30.87
14,15,82
1,8,81.66
0,4,34.57
74,16,26.77
10,52,20
63,40,80
220,0,33.42
36,34,23.2
3,91,46.2
163,3,32.71
10,62,38
86,86,74.66
8,8,112
14,4,44.6
86,65,15.92
25,47,15.92
3,7,110.5
63,46,24.55
1,1,27.12
25,220,30.71
13,43,21
86,25,17.5
11,7,69.66
10,60,34.66
83,3,34.5
86,234,25.75
62,16,50.5
1,59,28.57
3,1,33.33
27,40,49.75
1,4,66.33
8,91,28.42
10,44,16.5
7,93,24.5
163,1,24.5
148,0,27.85
16,0,39
234,220,32.33
74,10,27.57
14,9,96.5
2,121,38.6
27,11,48
1,65,27.42
11,240,63.66
63,4,27.28
59,40,27.28
83,59,23.75
69,40,37.8
87,83,20.88
74,2,26.85
10,195,20.55
6,9,18.5
87,220,23
10,45,18.3
86,93,36.4
38,2,36.2
11,256,45.25
25,65,8.22
13,45,25.42
86,36,22.25
36,6,43.5
89,38,86
63,15,34.4
23,43,56.66
2,19,84.5
87,163,42
254,220,20.87
25,127,10.31
86,44,32.4
41,2,0
75,2,32.4
128,2,160
1,177,40
74,6,31.6
2,44,79
8,6,31.2
49,0,38.5
79,34,15.3
5,234,38.25
96,0,25.33
1,75,16.88
83,25,30.4
47,65,13.81
6,46,24.83
6,75,37
6,40,21.14
1,1,49
20,15,48.66
29,75,24.16
10,36,18.12
87,86,16
28,46,35.75
93,0,35.75
163,273,47.33
51,8,20.28
121,45,70.5
24,2,140
83,1,34.5
60,16,69
133,16,27.6
11,2,34.25
13,121,34
13,79,67.5
27,5,135
10,133,19.28
1,1,44.33
6,6,0
147,6,26.4
92,83,33
60,47,32.75
36,44,18.71
45,16,26.2
46,4,131
74,101,21.66
29,142,32.5
51,91,65
1,29,16.12
15,3,129
121,16,43
65,0,25.8
87,25,16
163,163,42.66
10,19,64
106,4,128
11,153,42.66
87,54,18
11,142,15.75
17,41,0
93,34,25.2
86,219,31.25
16,43,24.8
86,103,30.75
52,195,24.6
49,220,123
46,0,123
74,34,40.66
51,142,24.4
4,46,20.33
12,220,24.2
240,40,30.25
34,0,30
11,1,29.75
29,40,19.83
10,93,23.6
36,93,59
59,59,118
9,43,19.66
87,29,9.75
126,5,117
144,16,38.66
127,65,11.6
14,69,23
29,46,28.75
20,75,11.4
2,159,18.83
5,65,22.4
128,11,36.66
29,6,22
101,6,55
4,40,27.5
254,103,36.33
52,65,18.16
87,3,54
86,86,54
20,4,36
147,10,21.4
74,43,107
47,19,17.66
2,46,35.33
144,220,21
29,4,35
8,15,21
101,19,105
5,4,20.8
2,9,17.33
60,195,0
121,43,0
96,36,20.6
28,8,34.33
14,59,25.75
54,6,51.5
68,9,34.33
254,1,102
1,54,34
5,148,51
163,103,33.33
11,11,14.28
5,103,50
86,49,50
163,59,49.5
51,2,49.5
8,88,99
87,103,19.6
1,19,98
29,59,12.25
220,65,24.5
33,6,32.33
7,46,48.5
92,1,95
54,40,19
1,15,47
103,0,23.5
5,12,31
28,88,13.14
33,43,46
1,103,18.4
23,45,92
62,133,46
52,44,11.5
6,0,46
13,159,30.33
51,97,12.85
83,75,45
75,4,88
34,43,29.33
10,19,17.4
87,63,28.66
103,47,28.66
4,4,43
87,16,0
86,34,28.33
1,63,10.5
1,16,28
2,145,42
54,59,21
7,121,27.66
52,16,10.37
44,34,41.5
11,13,41
69,46,16.4
7,133,20.25
128,3,81
21,34,26.66
161,86,40
254,86,16
23,62,13.33
195,6,20
7,215,19.75
1,20,79
29,0,39.5
51,20,39.5
169,59,19.75
273,1,39
27,69,19.5
29,25,19.5
234,25,13
63,2,39
7,91,78
144,25,25.66
25,19,25.66
11,5,12.66
11,84,25.33
169,54,76
163,140,15
196,29,25
273,103,25
2,68,75
60,36,25
91,46,37.5
96,215,0
1,47,14.8
60,40,14.8
10,25,24.66
87,1,18.25
10,101,18.25
220,40,36
7,49,35.5
70,23,23.66
51,114,17.75
24,31,70
83,83,35
52,101,17.5
11,245,23
103,219,23
102,41,34.5
16,40,34.5
25,40,22.66
256,6,17
12,75,34
87,5,16.75
147,62,67
7,52,16.75
163,5,67
1,157,33.5
51,88,8.37
177,0,67
102,2,67
147,74,33
20,40,66
13,52,65
147,16,32.5
144,283,65
38,6,16.25
142,176,13
3,69,32.5
69,4,16.25
196,59,21.33
144,1,21.33
177,220,21.33
10,121,16
59,4,21.33
75,13,64
112,16,31.5
5,177,15.75
142,46,21
159,16,21
87,59,15.5
86,162,20.66
54,153,20.66
112,101,30.5
161,25,12.2
75,9,30.5
93,16,20.33
16,213,61
64,76,60
87,140,30
96,44,15
183,11,60
254,5,30
64,68,29.5
163,1,14.75
161,0,29.5
63,91,59
54,75,19.66
28,59,29
163,4,29
254,25,14.5
15,83,29
88,97,19.33
2,9,29
21,19,28.5
5,219,19
29,51,11.4
51,6,57
8,20,0
44,93,11.4
23,16,56
25,176,28
47,127,14
64,62,55
96,19,27.5
147,70,18.33
163,83,13.75
5,22,27.5
29,83,11
19,65,55
13,40,55
87,273,10.8
163,40,10.8
54,25,9
25,0,9
7,20,27
133,195,0
256,34,54
157,49,27
273,40,26.5
194,16,53
3,46,26.5
63,75,53
47,47,26.5
59,4,53
7,148,26
163,29,26
15,40,26
33,38,25.5
11,210,25.5
51,152,25.5
10,34,12.75
10,9,12.75
52,133,51
68,31,51
7,189,12.5
144,29,25
10,159,50
52,164,16.66
59,110,25
7,234,16.33
11,11,49
5,59,49
51,84,12.25
54,185,9.8
121,34,16.33
91,114,49
25,0,24.5
112,52,12
26,51,48
86,157,24
13,9,23.5
7,25,15.66
7,213,15.66
81,76,9.4
14,83,47
54,176,7.83
23,101,47
2,15,47
130,6,23.5
96,52,15.33
29,127,15.33
3,20,23
36,148,46
1,75,46
46,245,23
29,153,11.25
66,9,45
44,101,45
44,16,9
101,16,9
163,220,22
196,169,22
63,54,44
23,123,14.66
142,59,22
45,9,11
87,47,21.5
7,19,43
86,3,14.33
51,59,21.5
5,69,21
54,142,14
62,43,21
160,52,21
157,220,14
41,46,21
7,103,20.5
7,65,10.25
74,23,10.25
161,47,13.66
259,54,20.5
254,65,41
1,219,0
51,63,0
27,15,20
8,49,20
62,101,13.33
69,59,40
59,13,20
196,40,39
27,75,13
11,5,13
29,20,39
60,65,19.5
